Original S/NO,,2nd S/NO,date,, 3rd S/NO,date,,4th S/NO,date,,5th S/NO,date,,6th S/NO,date,,7th S/NO,date,,8th S/NO,date,,9th S/NO,date,,10th S/NO,date,,11th S/NO,date,,12th S/NO,date
6116001072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002413,,5A28000854,,,6116001257,6/11/2018,,5a27000776,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
5A22000658,,5b13001254,,,6116001869,2/14/2018,,6116001986,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
5B04000014,,5A27001869,3/12/2018,,5A27001477,3/21/2018,,6113001007,5/25/2018,,5a28000204,7/29/2018,,,,,,,,,,,,,,,,,,,,,
6118002721,,5A27000560,6/20/2018,,5B12003441,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001290,,6116001352,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118003122,,5a28001901,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002686,,6111000620,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27000783,,6116000866,2/21/2018,,6111002170,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002558,,6116002217,2/21/2018,,5A27000844,4/11/2018,,6116001604,7/16/2018,,6111000977,7/29/2018,,,,,,,,,,,,,,,,,,,,,
1616001046,,6116002402,2/12/2018,,6116002333,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28000993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002613,,6116002535,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111000438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002411,,6115001469,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B05001763,,6118002805,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28001121,,6118002601,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115001600,,6116002167,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001038,,5A28002641,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118001509,,6116001739,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002027,,6111002045,4/9/2018,,5B13000717,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115001907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115002438,,6130000177,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a29000341,,6118002614,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111001741,,6111002113,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a22000684,,6118003275,5/16/2018,,6111001618,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002301,,6116001424,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111000324,,5B20002297,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002402,,6115000422,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B04000191,,6130000245,2/25/2018,,5A27000415,3/5/2018,,5A27000415,,,,3/20/2018,,,7/29/2018,,,,,,,,,,,,,,,,,,
5A27002001,,6116001629,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A23002711,,6116001763,5/22/2018,,5a28002553,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118003583,,5B04000191,1/19/2018,,6116002263,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118003059,,6130000245,2/27/2018,,6128000822,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002697,,6116002366,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002160,,5a27000717,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118001585,,5b20001167,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002106,,6116002269,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002059,,5a28002542,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001550,,5A27000589,6/19/2018,,6116001312,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001531,,5A27000415,3/20/2018,,5A27001643,6/5/2018,,6118002505,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6116001238,,6118002260,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115001227,,6111001697,4/4/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118003541,,5a22000240,4/4/2018,,6111001092,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002786,,6128000713,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6109000675,,6118002349,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A22000767,,6111000339,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002524,,5a29001423,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001061,,5a29000580,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A22000736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28000859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A22000771,,5b20002342,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6130000246,,6116000876,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6112001234,,6118002766,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001937,,6116002693,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115001261,,6129001531,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B13001015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116000776,,6116001589,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001557,,6129001664,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001318,,6118002714,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001394,,6115001095,2/20/2018,,5a27001313,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5B13001126,,6115001619,2/5/2018,,5A280002158,3/26/2018,,5B20002271,4/9/2018,,5A27001619,4/30/2018,,6118002076,5/14/2018,,6116001355,7/29/2018,,,,,,,,,,,,,,,
5A28002462,,6111600042,3/12/2018,,6118002465,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A28000803,,6111000628,2/28/2018,,6118002669,7/2/2018,,6111000234,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
5A27000541,,5A28000226,3/26/2018,,,5/13/2018,,6111001821,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
5A27000461,,6111000065,2/21/2018,,6116001006,3/5/2018,,6116001805,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6118002915,,6116001832,2/12/2018,,6115001518,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002581,,6105000129,1/23/2018,,6118002631,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118001565,,6111000976,11/14/2017,,6105000129,1/22/2018,,5B19001400,1/31/2018,,6115001619,2/5/2018,,6112000118,2/12/2018,,6116001006,2/21/2018,,6111600042,3/5/2018,,5A22000462,3/12/2018,,6116001460,4/9/2018,,5A27001545,5/14/2018,,6118001574,7/29/2018
6116002511,,5B04000147,7/2/2018,,,,,6126000735,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6116002419,,6116002223,3/5/2018,,6129001095,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002396,,6118001565,12/12/2017,,6116000976,,,6116001818,1/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
6116001704,,5A22000462,3/26/2018,,6118001866,7/17/2018,,5B13001067,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
